track_id,track_name,business_face,repo_current_default,main_entrypoints,primary_inputs,primary_outputs,dependencies,artifact_surface,evidence_surface,auth_requirement,current_maturity,notes
BT-01,Purpose-routed intake adapter,business adapters,YES,scripts/sellersprite_route_router.py,"inputs/selection_run_current/01_选品任务路由与目的.csv | inputs/selection_run_current/01A_市场发现参数.csv | inputs/selection_run_current/01B_产品与竞品种子输入.csv | inputs/selection_run_current/02A_SIF补强策略输入.csv","logs/<namespace>/latest_route_decision.json | logs/<namespace>/route_decisions.jsonl","route tables | benchmark_chain_common.py","route decision object with purpose/sequence/policies","route decision logs",NONE_DIRECT,ACTIVE_FORMAL_ROUTING__INPUT_BOUND,"Current formal purposes are MARKET_DISCOVERY / PRODUCT_IDEA_VALIDATION / COMPETITOR_REVERSE_MINING / SUPPLY_CHAIN_BACKSOLVE."
BT-02,Direction batch orchestrator,business adapters,YES,scripts/run_selection_direction_batch.py,"00_选品运行目标与边界.csv | 01_市场入口与筛选参数.csv | 02_账号与合规预检查.csv | latest 22/32/42 gate artifacts","batch_queue_status.csv | batch_run_summary.json | batch_run_summary.md","templates/selection_canonical_standards/90_下推参数表.csv | downstream STEP3 and STEP4 scripts | repo Python env","per-row queue state and stage output links","logs/direction_batch/latest_run.json | direction_batch_runs.jsonl | direction_batch_failures.jsonl",INHERITED_SELLERSPRITE,ACTIVE_FORMAL_ORCHESTRATION__UPSTREAM_SENSITIVE,"Fail-closed batch layer; downstream trigger failures are recorded instead of hidden."
BT-03,STEP1 Product Research chain,collectors,YES,"scripts/export_product_research.py | scripts/build_product_seed_pool.py","route/context row | Product Research keyword | template 90/99","10_产品样本原始结果.csv | 11_产品样本种子池.csv | 12_产品样本下推结果.csv | 13_step1_market_handoff.jsonl","SellerSprite v3/product-research | product replay/auth context | canonical templates","Product Research workbook plus 10/11/12 and handoff JSONL","runs/manual/15_product_exports/** | product logs | screenshots/traces on incident",SELLERSPRITE_PRODUCT_RESEARCH,REAL_FORMAL_PATH__PASS_ARTIFACTS_PROVEN,"Fresh formal rerun on 2026-04-10 rebuilt real 10/11/12 and page-visible market handoff."
BT-04,STEP2 Keyword Evidence chain,collectors,YES,"scripts/export_keyword_research.py | scripts/export_keyword_trend.py | scripts/build_keyword_evidence_pool.py","context row | direction id | keyword query | storage state or persistent profile | template 90/99","20_关键词证据词池原始结果.csv | 21_关键词证据词池清洗结果.csv | 22_关键词证据词池下推结果.csv | keyword_chain_output_index.csv | keyword_chain_output_index.md","SellerSprite v3/keyword-miner | export-log flow | run_sellersprite_keyword_export_flow.py | canonical templates","keyword_research_raw.json | keyword_trend_raw.json | canonical 20/21/22","runs/manual/12_keyword_exports/** | logs/keyword_chain/** | keyword export flow records",SELLERSPRITE_KEYWORD_AUTH_REQUIRED,CLOSED_AT_ARTIFACT_LAYER__GATE_HOLD__AUTH_SENSITIVE,"Real 20/21/22 exists for claw machine, but fresh recollection is auth-sensitive and the business gate remains HOLD."
BT-05,STEP3 Market Research chain,collectors,YES,"scripts/export_market_report.py | scripts/build_market_workbook_index.py","current 01 controls or explicit overrides | Product Research handoff Market Analysis URL | canonical template 90/99","market-report-*.xlsx | 30_市场调研原始索引.csv | 31_市场调研清洗结果.csv | 32_市场调研下推结果.csv | market_workbook_index.csv | market_workbook_index.md | market_chain_output_index.csv | market_chain_output_index.md","SellerSprite market-research surface | workbook parsing | canonical templates | keep-set workbook policy","raw market workbook plus 30/31/32 gate package","runs/manual/10_market/** | logs/market_exports/** | STEP3 rerun reports",SELLERSPRITE_MARKET_RESEARCH,PARTIAL__FORMAL_PATH_CORRECTED__LIVE_BLOCKERS_REMAIN,"Formal product-form path is corrected, but STEP3 still remains a live blocker and must stay PARTIAL."
BT-06,STEP4 Benchmark Competitor chain,collectors,YES,"scripts/export_benchmark_competitors.py | scripts/build_benchmark_seed_pool.py","route context | STEP1 or STEP3 PASS seed | template 90/99","benchmark_competitor_raw.json | 40_竞品基准结果.csv | 41_候选产品种子池.csv | 42_竞品基准下推结果.csv | benchmark_chain_output_index.csv | benchmark_chain_output_index.md","SellerSprite v3/competitor-lookup | export-log polling | formal seed routing | canonical templates","raw benchmark JSON and workbook-derived 40/41/42","runs/manual/20_benchmark_exports/** | logs/benchmark_chain/** | export-log incident evidence",SELLERSPRITE_BENCHMARK_AUTH_REQUIRED,CLOSED_AT_CHAIN_LAYER__NIGHTLY_PARTIAL,"Fresh formal reruns proved the STEP1-seeded page-download path; nightly stability still regresses on export-log auth."
BT-07,T01 Market Discovery shortlist,business adapters,YES__MARKET_DISCOVERY_ONLY,scripts/build_market_discovery_shortlist.py,"01_选品任务路由与目的.csv | 01A_市场发现参数.csv | batch selection input CSV | real market workbook or STEP3 gate CSV","T01_市场发现短名单.csv | T01_市场发现短名单.md | T01_市场发现短名单_summary.json","route decision | market workbook or STEP3 gate layer | selection whitelist | category/purpose profile","shortlist projection with YES/HOLD/NO","reports/CODEX_SELLERSPRITE_FOUR_FLOW_EXECUTION_SUMMARY_20260410.md | reports/CODEX_TOY_10_TERMS_BATCH_RUN_SUMMARY_20260411.md | shortlist logs",NONE_DIRECT__UPSTREAM_STEP3_INHERITED,REAL_SHORTLIST_PROJECTION__STEP3_DEPENDENT,"Real T01 runs exist, but they remain shortlist projection rather than full business closure."
BT-08,STEP7 Candidate Pool projection,business adapters,YES,scripts/build_candidate_pool.py,"batch summary | batch queue | explicit 12/22/32/42 artifacts or nightly state | companion seed tables when present","03_候选市场与候选品初筛池.csv | 60_候选样品池.csv | 60_候选样品池.md | candidate_pool_summary.json","STEP1/2/3/4 structured outputs | nightly state or direct-artifact mode | canonical standards","intermediate 03 pool and readable 60 projection","reports/candidate_pool_contract.md | candidate pool logs/summaries | nightly state references",INHERITED,REAL_OUTPUT__BOUNDARY_STATUS_ONLY,"Can emit downgraded boundary statuses without fabricating full-chain closure."
BT-09,SIF surface collection,collectors,YES__SHORTLIST_ONLY,"scripts/bootstrap_sif_auth.py | scripts/collect_sif_detail_surface.py | scripts/collect_sif_search_surface.py","candidate pool row or explicit asin/keyword/country | repo-local SIF profile and optional storage state","50_SIF流量结构补强.csv | 51_SIF关键词价值补强.csv | 52_SIF广告结构补强.csv | sif_detail_surface_probe.json | sif_search_surface_probe.json","SIF routes | playwright/profiles/sif-main | playwright/auth/sif.storage_state.json | sif_surface_common.py","standards-aligned detail/search outputs and probe JSON","logs/sif_surfaces/** | blocked-route probe JSON | screenshots/traces when captured",SIF_AUTH_REQUIRED,PARTIAL_SURFACE_ONLY__AUTH_REQUIRED,"Real shortlist-only SIF surface layer exists, but auth reusability is not yet verified."
BT-10,SIF enrichment and daytime pack,business adapters,YES__SHORTLIST_ONLY,scripts/build_sif_enrichment_daytime_pack.py,"60_候选样品池.csv | candidate_pool_summary.json | 50/51/52 outputs | probe JSON files | batch_queue_status.csv","50_SIF流量结构补强.csv | 51_SIF关键词价值补强.csv | 52_SIF广告结构补强.csv | 53_SIF补强下推结果.csv | 61_待供应链核利清单.csv | 61_待供应链核利清单.md | sif_enrichment_daytime_pack_summary.json","candidate-pool primary keys | SIF surface outputs | templates/selection_canonical_standards/90_下推参数表.csv","fail-closed 53 plus daytime shortlist handoff 61","reports/sif_enrichment_and_daytime_pack_contract.md | logs/sif_enrichment/latest_run.json | SIF probe JSON",INHERITED_SIF,STRUCTURED_FAIL_CLOSED__UPSTREAM_BLOCKED,"Structurally real and standards-aligned, but it must stay blocked while SIF/auth is incomplete."
BT-11,Route-aware nightly state machine,business adapters,YES,scripts/sellersprite_nightly_orchestrator.py,"purpose-routed context | current inputs | step collectors/builders | auth replay surfaces","latest_nightly_state.json and route-level step states","purpose router | STEP1/2/3/4/7 scripts | auth replay support","resumable nightly state with step-level status continuity","nightly state logs | README status notes | route decision logs",INHERITED_MULTI_SURFACE,ACTIVE_FORMAL_ORCHESTRATION__UPSTREAM_SENSITIVE,"Real repo-level nightly architecture, but not a business closeout object."
BT-12,Nightly acceptance dry-run envelope,observation / evidence producers,YES__CONTROLLED_RUN_ONLY,scripts/run_nightly_selection_acceptance.py,"current input snapshot | direction batch | candidate pool | SIF probes | enrichment builder","outputs/selection_runs/<batch_id>/00_run_summary.md | 00_run_manifest.json | 02_generated_outputs/artifact_index.json | 03_logs/evidence_pack.json | 03_logs/shadow_run_receipt.json | 03_logs/nightly_acceptance_summary.json","scripts/output_envelope_common.py | direction batch | candidate pool | SIF collectors | SIF enrichment","full archive-shaped dry-run package for ingest","copied current inputs | nightly_acceptance_summary.json | evidence_pack.json | shadow_run_receipt.json",INHERITED_MULTI_SURFACE,REAL_EXECUTION_SURFACE__DRY_RUN_ONLY__NOT_BUSINESS_CLOSED,"Controlled ingest-facing execution surface; must stay dry-run and must not be promoted into business closure."
BT-13,Legacy market workbook to 03 candidate-pool adapter,business adapters,NO__LEGACY_NONDEFAULT,scripts/map_market_report_to_candidate_pool.py,"market workbook | inputs/selection_run_current/03_候选市场与候选品初筛池.csv | current 00/01 context when available","updated 03_候选市场与候选品初筛池.csv | market_cleaned.csv | market_to_candidate_pool_mapping_report.json | market_to_candidate_pool_mapping_report.md","existing market workbook under runs/manual/10_market | workbook parsing | repo-local CSV templates","mapped 03 pool and mapping report","mapping report JSON/MD and selected workbook reference",NONE_DIRECT__REUSES_EXISTING_MARKET_WORKBOOK,LEGACY_LOCAL_ADAPTER__NONDEFAULT_BUT_EXECUTABLE,"Repo-visible and executable, but not the current default purpose-routed business path."
SK-01,Skill market route M01 to M02,approved skill execution surfaces,NO__APPROVED_IMPORTED_SURFACE,skills/skill-market-route-m01-to-m02/run_market_m01_to_m02.py,"dropzone Market-research*.xlsx","M02_market_cleaned__*.xlsx | matching CSV/JSONL | summaries | manifests","local files only | workbook parsing | skill-local archive/log structure","cleaned M02 package","logs/<run_id>/run.log | warnings/errors JSON | processed/failed manifests",NONE,APPROVED_IMPORTED_SURFACE__BOUNDED_LOCAL_EXECUTION,"Approved and repo-visible, but not the current default B-side business lane."
SK-02,Skill market route M02 to M03 to M04 to K01 to K02,approved skill execution surfaces,NO__APPROVED_IMPORTED_SURFACE,skills/skill-market-route-step1-to-step3/scripts/run_market_route_pipeline.py,"validated M02 | inbox/benchmark_raw | inbox/keyword_raw","M03_niche_shortlist | M04_benchmark_asin_scored | K01_keyword_pool | K02_keyword_shortlist | summaries | manifests","skill configs | local files | dropped raw evidence inboxes","bounded local market-route outputs through K02","step manifests | logs | queue status in skill workspace",NONE_DIRECT__RAW_DROP_INBOX,APPROVED_IMPORTED_SURFACE__BOUNDED_LOCAL_EXECUTION,"Imported bounded pipeline that stops before SIF and final business closure."
SK-03,Skill market root orchestrator,approved skill execution surfaces,NO__APPROVED_IMPORTED_SURFACE,skills/skill-market-root-orchestrator/scripts/run_market_root_orchestrator.py,"dropzone Market-research*.xlsx | validated latest M02","unified orchestrator manifest and delegated downstream skill outputs","skill-market-route-m01-to-m02 | skill-market-route-step1-to-step3","orchestrated handoff from raw workbook root to validated M02","skill-local manifests and logs",NONE,APPROVED_IMPORTED_SURFACE__BOUNDED_LOCAL_EXECUTION,"Coordinates imported skills rather than the current default scripts lane."
SK-04,Skill semantic filter local,approved skill execution surfaces,NO__APPROVED_IMPORTED_SURFACE,skills/skill-semantic-filter-local/scripts/run_semantic_filter.py,"latest M03_niche_shortlist | local Ollama runtime","M03_semantic_filtered__*.xlsx | matching CSV | semantic_benchmark_queue__*.csv | semantic_filter_manifest__*.json | semantic_filter_run_log__*.json","local Ollama OpenAI-compatible endpoint | fixed model qwen3:4b-instruct","semantic denoise output and benchmark queue","semantic manifest and run log JSON",OLLAMA_LOCAL_ONLY,APPROVED_IMPORTED_SURFACE__LOCAL_MODEL_ONLY,"Only imported skill surface here that naturally maps toward a future ModelInferenceReceipt."
